,ticker,cik,company,sic,sic_desc,form,filing_date,report_date,acceptance_datetime,accession,doc_url,n_words,n_distinct,text_path,accession_clean,calendar_quarter,acceptance_et,acceptance_effective_date,day0_candidate,day0,day_minus1,price_day_minus1,n_pre_returns,n_post_returns
712,BWXT,1486957,"BWX Technologies, Inc.",3510,Engines & Turbines,10-Q,2022-05-09,2022-03-31,2022-05-09 20:28:12+00:00,0001486957-22-000017,https://www.sec.gov/Archives/edgar/data/1486957/000148695722000017/bwxt-20220331.htm,7203,1257,data/interim/text/000148695722000017.txt.gz,000148695722000017,2022Q2,2022-05-09 16:28:12-04:00,2022-05-10,2022-05-10,2022-05-10,2022-05-09,45.66389465332031,424,974
713,BWXT,1486957,"BWX Technologies, Inc.",3510,Engines & Turbines,10-Q,2022-08-08,2022-06-30,2022-08-08 20:27:24+00:00,0001486957-22-000026,https://www.sec.gov/Archives/edgar/data/1486957/000148695722000026/bwxt-20220630.htm,8038,1268,data/interim/text/000148695722000026.txt.gz,000148695722000026,2022Q3,2022-08-08 16:27:24-04:00,2022-08-09,2022-08-09,2022-08-09,2022-08-08,53.62016677856445,486,912
714,BWXT,1486957,"BWX Technologies, Inc.",3510,Engines & Turbines,10-Q,2022-11-07,2022-09-30,2022-11-07 21:35:26+00:00,0001486957-22-000035,https://www.sec.gov/Archives/edgar/data/1486957/000148695722000035/bwxt-20220930.htm,8511,1297,data/interim/text/000148695722000035.txt.gz,000148695722000035,2022Q4,2022-11-07 16:35:26-05:00,2022-11-08,2022-11-08,2022-11-08,2022-11-07,55.31144332885742,550,848
715,BWXT,1486957,"BWX Technologies, Inc.",3510,Engines & Turbines,10-K,2023-02-23,2022-12-31,2023-02-23 21:22:51+00:00,0001486957-23-000008,https://www.sec.gov/Archives/edgar/data/1486957/000148695723000008/bwxt-20221231.htm,32733,3111,data/interim/text/000148695723000008.txt.gz,000148695723000008,2023Q1,2023-02-23 16:22:51-05:00,2023-02-24,2023-02-24,2023-02-24,2023-02-23,57.325138092041016,623,775
716,BWXT,1486957,"BWX Technologies, Inc.",3510,Engines & Turbines,10-Q,2023-05-08,2023-03-31,2023-05-08 20:22:02+00:00,0001486957-23-000027,https://www.sec.gov/Archives/edgar/data/1486957/000148695723000027/bwxt-20230331.htm,6944,1175,data/interim/text/000148695723000027.txt.gz,000148695723000027,2023Q2,2023-05-08 16:22:02-04:00,2023-05-09,2023-05-09,2023-05-09,2023-05-08,63.10156631469727,674,724
717,BWXT,1486957,"BWX Technologies, Inc.",3510,Engines & Turbines,10-Q,2023-08-03,2023-06-30,2023-08-03 20:29:48+00:00,0001486957-23-000033,https://www.sec.gov/Archives/edgar/data/1486957/000148695723000033/bwxt-20230630.htm,7896,1218,data/interim/text/000148695723000033.txt.gz,000148695723000033,2023Q3,2023-08-03 16:29:48-04:00,2023-08-04,2023-08-04,2023-08-04,2023-08-03,66.76336669921875,734,664
718,BWXT,1486957,"BWX Technologies, Inc.",3510,Engines & Turbines,10-Q,2023-11-01,2023-09-30,2023-11-01 20:24:28+00:00,0001486957-23-000042,https://www.sec.gov/Archives/edgar/data/1486957/000148695723000042/bwxt-20230930.htm,8084,1240,data/interim/text/000148695723000042.txt.gz,000148695723000042,2023Q4,2023-11-01 16:24:28-04:00,2023-11-02,2023-11-02,2023-11-02,2023-11-01,72.79029083251953,797,601
719,BWXT,1486957,"BWX Technologies, Inc.",3510,Engines & Turbines,10-K,2024-02-27,2023-12-31,2024-02-27 21:28:37+00:00,0001486957-24-000011,https://www.sec.gov/Archives/edgar/data/1486957/000148695724000011/bwxt-20231231.htm,32859,3209,data/interim/text/000148695724000011.txt.gz,000148695724000011,2024Q1,2024-02-27 16:28:37-05:00,2024-02-28,2024-02-28,2024-02-28,2024-02-27,87.39744567871094,876,522
720,BWXT,1486957,"BWX Technologies, Inc.",3510,Engines & Turbines,10-Q,2024-05-06,2024-03-31,2024-05-06 20:20:56+00:00,0001486957-24-000029,https://www.sec.gov/Archives/edgar/data/1486957/000148695724000029/bwxt-20240331.htm,6644,1155,data/interim/text/000148695724000029.txt.gz,000148695724000029,2024Q2,2024-05-06 16:20:56-04:00,2024-05-07,2024-05-07,2024-05-07,2024-05-06,97.01560974121094,924,474
721,BWXT,1486957,"BWX Technologies, Inc.",3510,Engines & Turbines,10-Q,2024-08-05,2024-06-30,2024-08-05 20:43:15+00:00,0001486957-24-000042,https://www.sec.gov/Archives/edgar/data/1486957/000148695724000042/bwxt-20240630.htm,7139,1165,data/interim/text/000148695724000042.txt.gz,000148695724000042,2024Q3,2024-08-05 16:43:15-04:00,2024-08-06,2024-08-06,2024-08-06,2024-08-05,90.87909698486328,986,412
